in_rxnorm_cui,rxnorm_cui,name,tty,source,dose,unit,mme_factor
5489,859029,Chlorpheniramine 0.4 MG/ML / Hydrocodone Bitartrate 0.7 MG/ML / Phenylephrine 1.5 MG/ML Oral Solution [Hydro-PC II],SBD,rxnav,0.7,mg/ml,1
5489,859097,guaiacolsulfonate 70 MG/ML / Hydrocodone Bitartrate 1 MG/ML Oral Solution,SCD,rxnav,1,mg/ml,1
5489,859098,guaiacolsulfonate 70 MG/ML / Hydrocodone Bitartrate 1 MG/ML [KGS HC],SBDC,rxnav,1,mg/ml,1
5489,859099,guaiacolsulfonate 70 MG/ML / Hydrocodone Bitartrate 1 MG/ML Oral Solution [KGS HC],SBD,rxnav,1,mg/ml,1
5489,859137,Chlorpheniramine 0.4 MG/ML / Hydrocodone Bitartrate 1 MG/ML / Phenylephrine 1 MG/ML Oral Solution,SCD,rxnav,1,mg/ml,1
5489,859140,Chlorpheniramine 0.4 MG/ML / Hydrocodone Bitartrate 1 MG/ML / Phenylephrine 1 MG/ML [B-Tuss],SBDC,rxnav,1,mg/ml,1
5489,859141,Chlorpheniramine 0.4 MG/ML / Hydrocodone Bitartrate 1 MG/ML / Phenylephrine 1 MG/ML Oral Solution [B-Tuss],SBD,rxnav,1,mg/ml,1
5489,859146,Chlorpheniramine 0.4 MG/ML / Hydrocodone Bitartrate 1 MG/ML / Phenylephrine 2 MG/ML Oral Solution,SCD,rxnav,1,mg/ml,1
5489,859149,Chlorpheniramine 0.4 MG/ML / Hydrocodone Bitartrate 1 MG/ML / Phenylephrine 2 MG/ML [Hydron CP],SBDC,rxnav,1,mg/ml,1
5489,859150,Chlorpheniramine 0.4 MG/ML / Hydrocodone Bitartrate 1 MG/ML / Phenylephrine 2 MG/ML Oral Solution [Hydron CP],SBD,rxnav,1,mg/ml,1
5489,859156,Chlorpheniramine Maleate 0.4 MG/ML / Hydrocodone Bitartrate 1 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution,SCD,rxnav,1,mg/ml,1
5489,859219,Hydrocodone Bitartrate 0.65 MG/ML,SCDC,rxnav,0.65,mg/ml,1
5489,859220,Chlorpheniramine 0.5 MG/ML / Hydrocodone Bitartrate 0.65 MG/ML / Phenylephrine 1.6 MG/ML Oral Solution,SCD,rxnav,0.65,mg/ml,1
5489,859221,Chlorpheniramine 0.5 MG/ML / Hydrocodone Bitartrate 0.65 MG/ML / Phenylephrine 1.6 MG/ML [Relasin HC],SBDC,rxnav,0.65,mg/ml,1
5489,859222,Chlorpheniramine 0.5 MG/ML / Hydrocodone Bitartrate 0.65 MG/ML / Phenylephrine 1.6 MG/ML Oral Solution [Relasin HC],SBD,rxnav,0.65,mg/ml,1
5489,859247,Chlorpheniramine 0.8 MG/ML / Hydrocodone Bitartrate 1 MG/ML Extended Release Suspension,SCD,rxnav,1,mg/ml,1
5489,859315,Hydrocodone Bitartrate 10 MG / Ibuprofen 200 MG Oral Tablet,SCD,rxnav,10,mg,1
5489,859316,Hydrocodone Bitartrate 10 MG / Ibuprofen 200 MG [Ibudone],SBDC,rxnav,10,mg,1
5489,859317,Hydrocodone Bitartrate 10 MG / Ibuprofen 200 MG Oral Tablet [Ibudone],SBD,rxnav,10,mg,1
5489,859330,Hydrocodone Bitartrate 10 MG / Ibuprofen 200 MG [Reprexain],SBDC,rxnav,10,mg,1
5489,859331,Hydrocodone Bitartrate 10 MG / Ibuprofen 200 MG Oral Tablet [Reprexain],SBD,rxnav,10,mg,1
2670,859364,Chlorpheniramine / Codeine Oral Suspension [Zodryl AC],SBDF,rxnav,,,0.15
5489,859366,Guaifenesin 40 MG/ML / Hydrocodone Bitartrate 0.5 MG/ML / Phenylephrine 1.5 MG/ML Oral Solution,SCD,rxnav,0.5,mg/ml,1
5489,859367,Guaifenesin 40 MG/ML / Hydrocodone Bitartrate 0.5 MG/ML / Phenylephrine 1.5 MG/ML [Nariz HC],SBDC,rxnav,0.5,mg/ml,1
5489,859368,Guaifenesin 40 MG/ML / Hydrocodone Bitartrate 0.5 MG/ML / Phenylephrine 1.5 MG/ML Oral Solution [Nariz HC],SBD,rxnav,0.5,mg/ml,1
5489,859375,Guaifenesin 40 MG/ML / Hydrocodone Bitartrate 0.5 MG/ML / Phenylephrine 1.5 MG/ML [Nazarin HC],SBDC,rxnav,0.5,mg/ml,1
5489,859376,Guaifenesin 40 MG/ML / Hydrocodone Bitartrate 0.5 MG/ML / Phenylephrine 1.5 MG/ML Oral Solution [Nazarin HC],SBD,rxnav,0.5,mg/ml,1
5489,859383,Guaifenesin 40 MG/ML / Hydrocodone Bitartrate 0.5 MG/ML Oral Solution,SCD,rxnav,0.5,mg/ml,1
5489,859939,Guaifenesin 45 MG/ML / Hydrocodone Bitartrate 0.5 MG/ML / Phenylephrine 2 MG/ML Oral Solution,SCD,rxnav,0.5,mg/ml,1
5489,859942,Guaifenesin 45 MG/ML / Hydrocodone Bitartrate 0.5 MG/ML / Phenylephrine 2 MG/ML [Simuc-HD],SBDC,rxnav,0.5,mg/ml,1
5489,859943,Guaifenesin 45 MG/ML / Hydrocodone Bitartrate 0.5 MG/ML / Phenylephrine 2 MG/ML Oral Solution [Simuc-HD],SBD,rxnav,0.5,mg/ml,1
7052,859955,Morphine Sulfate 20 MG,SCDC,rxnav,20,mg,1
7052,859959,Embeda,BN,rxnav,,,1
7052,859960,Morphine Sulfate 20 MG / Naltrexone hydrochloride 0.8 MG [Embeda],SBDC,rxnav,20,mg,1
7052,859963,Morphine Sulfate 30 MG,SCDC,rxnav,30,mg,1
7052,859966,Morphine Sulfate 30 MG / Naltrexone hydrochloride 1.2 MG [Embeda],SBDC,rxnav,30,mg,1
7052,859968,Morphine Sulfate 50 MG,SCDC,rxnav,50,mg,1
7052,859971,Morphine Sulfate 50 MG / Naltrexone hydrochloride 2 MG [Embeda],SBDC,rxnav,50,mg,1
5489,860137,guaiacolsulfonate 30 MG/ML / Hydrocodone Bitartrate 0.6 MG/ML [De-Chlor NX],SBDC,rxnav,0.6,mg/ml,1
5489,860138,guaiacolsulfonate 30 MG/ML / Hydrocodone Bitartrate 0.6 MG/ML Oral Solution [De-Chlor NX],SBD,rxnav,0.6,mg/ml,1
5489,860144,Hydrocodone Bitartrate 0.75 MG/ML,SCDC,rxnav,0.75,mg/ml,1
5489,860151,Hydrocodone Bitartrate 1 MG/ML / Phenylephrine 1 MG/ML / Pyrilamine 1 MG/ML Oral Solution,SCD,rxnav,1,mg/ml,1
5489,860158,Hydrocodone Bitartrate 1 MG/ML / Phenylephrine 1 MG/ML / Pyrilamine 1 MG/ML [De-Chlor MR],SBDC,rxnav,1,mg/ml,1
5489,860159,Hydrocodone Bitartrate 1 MG/ML / Phenylephrine 1 MG/ML / Pyrilamine 1 MG/ML Oral Solution [De-Chlor MR],SBD,rxnav,1,mg/ml,1
5489,860239,Guaifenesin 10 MG/ML / Hydrocodone Bitartrate 0.5 MG/ML / Phenylephrine Hydrochloride 1.5 MG/ML Oral Solution [Hydro GP],SBD,rxnav,0.5,mg/ml,1
5489,860426,Guaifenesin 20 MG/ML / Hydrocodone Bitartrate 0.4 MG/ML / Phenylephrine 2 MG/ML Oral Solution,SCD,rxnav,0.4,mg/ml,1
5489,860527,Su-Tuss HD,BN,rxnav,,,1
5489,860529,Guaifenesin / Hydrocodone / Pseudoephedrine Oral Solution [Su-Tuss HD],SBDF,rxnav,,,1
5489,860530,Guaifenesin 20 MG/ML / Hydrocodone Bitartrate 0.5 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Su-Tuss HD],SBD,rxnav,0.5,mg/ml,1
5489,860549,Guaifenesin 20 MG/ML / Hydrocodone Bitartrate 0.6 MG/ML / Pseudoephedrine 3 MG/ML Oral Solution,SCD,rxnav,0.6,mg/ml,1
5489,860579,Guaifenesin 10 MG/ML / Hydrocodone Bitartrate 0.75 MG/ML / Pseudoephedrine 4.5 MG/ML Oral Solution,SCD,rxnav,0.75,mg/ml,1
5489,860592,Guaifenesin 60 MG/ML / Hydrocodone Bitartrate 1 MG/ML / Phenylephrine 2 MG/ML Oral Solution,SCD,rxnav,1,mg/ml,1
5489,860593,Hydrocodone Bitartrate 0.334 MG/ML / Phenylephrine 1 MG/ML Oral Solution,SCD,rxnav,0.334,mg/ml,1
5489,860596,Hydrocodone Bitartrate 1 MG/ML / Pseudoephedrine 6 MG/ML Oral Solution,SCD,rxnav,1,mg/ml,1
5489,860599,Hydrocodone Bitartrate 7.5 MG Oral Tablet,SCD,rxnav,7.5,mg,1
6754,860791,Meperidine Hydrochloride 75 MG/ML,SCDC,rxnav,75,mg/ml,0.1
6754,861446,Meperidine Hydrochloride 10 MG/ML,SCDC,rxnav,10,mg/ml,0.1
6754,861454,Meperidine Hydrochloride 100 MG,SCDC,rxnav,100,mg,0.1
6754,861455,Meperidine Hydrochloride 100 MG Oral Tablet,SCD,rxnav,100,mg,0.1
6754,861458,Meperidine Hydrochloride 100 MG/ML,SCDC,rxnav,100,mg/ml,0.1
6754,861462,Meperidine Hydrochloride 50 MG/ML,SCDC,rxnav,50,mg/ml,0.1
6754,861466,Meperidine Hydrochloride 50 MG,SCDC,rxnav,50,mg,0.1
6754,861467,Meperidine Hydrochloride 50 MG Oral Tablet,SCD,rxnav,50,mg,0.1
6754,861475,Meperidine Hydrochloride 25 MG/ML,SCDC,rxnav,25,mg/ml,0.1
6754,861479,Meperidine Hydrochloride 10 MG/ML Oral Solution,SCD,rxnav,10,mg/ml,0.1
6754,861515,Meperidine Hydrochloride 100 MG [Demerol],SBDC,rxnav,100,mg,0.1
6754,861516,Meperidine Oral Tablet [Demerol],SBDF,rxnav,,,0.1
6754,861517,Meperidine Hydrochloride 100 MG Oral Tablet [Demerol],SBD,rxnav,100,mg,0.1
6754,861518,Meperidine Hydrochloride 100 MG/ML [Demerol],SBDC,rxnav,100,mg/ml,0.1
6754,861521,Meperidine Hydrochloride 50 MG/ML [Demerol],SBDC,rxnav,50,mg/ml,0.1
6754,861524,Meperidine Hydrochloride 50 MG [Demerol],SBDC,rxnav,50,mg,0.1
6754,861525,Meperidine Hydrochloride 50 MG Oral Tablet [Demerol],SBD,rxnav,50,mg,0.1
6754,861530,Meperidine Hydrochloride 25 MG/ML [Demerol],SBDC,rxnav,25,mg/ml,0.1
6754,861535,Meperidine Hydrochloride 75 MG/ML [Demerol],SBDC,rxnav,75,mg/ml,0.1
6754,861578,Meperidine Hydrochloride 50 MG / Promethazine Hydrochloride 25 MG Oral Capsule,SCD,rxnav,50,mg,0.1
7052,863539,Morphine Sulfate 100 MG,SCDC,rxnav,100,mg,1
7052,863542,Morphine Sulfate 100 MG / Naltrexone hydrochloride 4 MG [Embeda],SBDC,rxnav,100,mg,1
7052,863546,Morphine Sulfate 60 MG,SCDC,rxnav,60,mg,1
7052,863549,Morphine Sulfate 60 MG / Naltrexone hydrochloride 2.4 MG [Embeda],SBDC,rxnav,60,mg,1
7052,863551,Morphine Sulfate 80 MG,SCDC,rxnav,80,mg,1
7052,863554,Morphine Sulfate 80 MG / Naltrexone hydrochloride 3.2 MG [Embeda],SBDC,rxnav,80,mg,1
7052,863844,Morphine / Naltrexone Extended Release Oral Capsule,SCDF,rxnav,,,1
7052,863845,Abuse-Deterrent Morphine Sulfate 100 MG / Naltrexone hydrochloride 4 MG Extended Release Oral Capsule,SCD,rxnav,100,mg,1
7052,863846,Morphine / Naltrexone Extended Release Oral Capsule [Embeda],SBDF,rxnav,,,1
7052,863847,Abuse-Deterrent Morphine Sulfate 100 MG / Naltrexone hydrochloride 4 MG Extended Release Oral Capsule [Embeda],SBD,rxnav,100,mg,1
7052,863848,Abuse-Deterrent Morphine Sulfate 20 MG / Naltrexone hydrochloride 0.8 MG Extended Release Oral Capsule,SCD,rxnav,20,mg,1
7052,863849,Abuse-Deterrent Morphine Sulfate 20 MG / Naltrexone hydrochloride 0.8 MG Extended Release Oral Capsule [Embeda],SBD,rxnav,20,mg,1
7052,863850,Abuse-Deterrent Morphine Sulfate 30 MG / Naltrexone hydrochloride 1.2 MG Extended Release Oral Capsule,SCD,rxnav,30,mg,1
7052,863851,Abuse-Deterrent Morphine Sulfate 30 MG / Naltrexone hydrochloride 1.2 MG Extended Release Oral Capsule [Embeda],SBD,rxnav,30,mg,1
7052,863852,Abuse-Deterrent Morphine Sulfate 50 MG / Naltrexone hydrochloride 2 MG Extended Release Oral Capsule,SCD,rxnav,50,mg,1
7052,863853,Abuse-Deterrent Morphine Sulfate 50 MG / Naltrexone hydrochloride 2 MG Extended Release Oral Capsule [Embeda],SBD,rxnav,50,mg,1
7052,863854,Abuse-Deterrent Morphine Sulfate 60 MG / Naltrexone hydrochloride 2.4 MG Extended Release Oral Capsule,SCD,rxnav,60,mg,1
7052,863855,Abuse-Deterrent Morphine Sulfate 60 MG / Naltrexone hydrochloride 2.4 MG Extended Release Oral Capsule [Embeda],SBD,rxnav,60,mg,1
7052,863856,Abuse-Deterrent Morphine Sulfate 80 MG / Naltrexone hydrochloride 3.2 MG Extended Release Oral Capsule,SCD,rxnav,80,mg,1
7052,863857,Abuse-Deterrent Morphine Sulfate 80 MG / Naltrexone hydrochloride 3.2 MG Extended Release Oral Capsule [Embeda],SBD,rxnav,80,mg,1
6813,864705,Methadone Hydrochloride 10 MG,SCDC,rxnav,10,mg,NULL
6813,864706,Methadone Hydrochloride 10 MG Oral Tablet,SCD,rxnav,10,mg,NULL
6813,864707,Methadone Hydrochloride 10 MG [Dolophine],SBDC,rxnav,10,mg,NULL
6813,864708,Methadone Hydrochloride 10 MG Oral Tablet [Dolophine],SBD,rxnav,10,mg,NULL
6813,864711,Methadone Hydrochloride 10 MG [Methadose],SBDC,rxnav,10,mg,NULL
6813,864712,Methadone Hydrochloride 10 MG Oral Tablet [Methadose],SBD,rxnav,10,mg,NULL
6813,864713,Methadone Hydrochloride 10 MG/ML,SCDC,rxnav,10,mg/ml,NULL
6813,864717,Methadone Hydrochloride 5 MG,SCDC,rxnav,5,mg,NULL
6813,864718,Methadone Hydrochloride 5 MG Oral Tablet,SCD,rxnav,5,mg,NULL
6813,864719,Methadone Hydrochloride 5 MG [Dolophine],SBDC,rxnav,5,mg,NULL
6813,864720,Methadone Hydrochloride 5 MG Oral Tablet [Dolophine],SBD,rxnav,5,mg,NULL
6813,864736,Methadone Hydrochloride 5 MG [Methadose],SBDC,rxnav,5,mg,NULL
6813,864737,Methadone Hydrochloride 5 MG Oral Tablet [Methadose],SBD,rxnav,5,mg,NULL
6813,864760,Methadone Hydrochloride 1 MG/ML,SCDC,rxnav,1,mg/ml,NULL
6813,864761,Methadone Hydrochloride 1 MG/ML Oral Solution,SCD,rxnav,1,mg/ml,NULL
6813,864768,Methadone Hydrochloride 2 MG/ML,SCDC,rxnav,2,mg/ml,NULL
6813,864769,Methadone Hydrochloride 2 MG/ML Oral Solution,SCD,rxnav,2,mg/ml,NULL
6813,864978,Methadone Hydrochloride 40 MG Tablet for Oral Suspension,SCD,rxnav,40,mg,NULL
6813,864980,Methadone Hydrochloride 40 MG Tablet for Oral Suspension [Methadose],SBD,rxnav,40,mg,NULL
6813,864983,Methadone Hydrochloride 20 MG/ML,SCDC,rxnav,20,mg/ml,NULL
6813,864984,Methadone Hydrochloride 20 MG/ML Oral Solution,SCD,rxnav,20,mg/ml,NULL
2670,866126,Codeine / Guaifenesin / Pseudoephedrine Oral Suspension,SCDF,rxnav,,,0.15
2670,866172,Codeine / Guaifenesin / Pseudoephedrine Oral Suspension [Zodryl DEC],SBDF,rxnav,,,0.15
7052,866331,Morphine / Naltrexone,MIN,rxnav,,,1
2670,866851,Chlorpheniramine / Codeine / Pseudoephedrine Oral Suspension,SCDF,rxnav,,,0.15
2670,866874,Chlorpheniramine / Codeine / Pseudoephedrine Oral Suspension [Zodryl DAC],SBDF,rxnav,,,0.15
2670,877456,Codeine / Guaifenesin Oral Capsule [M-Clear WC],SBDF,rxnav,,,0.15
2670,877459,Mar-cof BP,BN,rxnav,,,0.15
2670,877461,Brompheniramine / Codeine / Pseudoephedrine Oral Solution [Mar-cof BP],SBDF,rxnav,,,0.15
2670,880446,Codeine / Pseudoephedrine / Pyrilamine,MIN,rxnav,,,0.15
23088,880688,dihydrocodeine / Guaifenesin / Phenylephrine,MIN,rxnav,,,0.25
7052,885779,Astramorph,BN,rxnav,,,1
1841,886621,Butorphanol Tartrate 2 MG/ML,SCDC,rxnav,2,mg/ml,7
1841,886626,Butorphanol Tartrate 1 MG/ML,SCDC,rxnav,1,mg/ml,7
1841,886630,Butorphanol Tartrate 10 MG/ML,SCDC,rxnav,10,mg/ml,7
1841,886634,Butorphanol Tartrate 10 MG/ML Nasal Spray,SCD,rxnav,10,mg/ml,7
5489,891171,Guaifenesin 20 MG/ML / Hydrocodone Bitartrate 0.4 MG/ML / Phenylephrine 2 MG/ML [De-Chlor G],SBDC,rxnav,0.4,mg/ml,1
5489,891172,Guaifenesin 20 MG/ML / Hydrocodone Bitartrate 0.4 MG/ML / Phenylephrine 2 MG/ML Oral Solution [De-Chlor G],SBD,rxnav,0.4,mg/ml,1
2670,891481,Codeine Phosphate 1.5 MG/ML,SCDC,rxnav,1.5,mg/ml,0.15
7052,891874,Morphine Sulfate 100 MG Extended Release Oral Tablet,SCD,rxnav,100,mg,1
7052,891877,Morphine Sulfate 15 MG,SCDC,rxnav,15,mg,1
7052,891878,12 HR Morphine Sulfate 15 MG Extended Release Oral Tablet,SCD,rxnav,15,mg,1
7052,891881,Morphine Sulfate 15 MG Extended Release Oral Tablet,SCD,rxnav,15,mg,1
7052,891883,12 HR Morphine Sulfate 100 MG Extended Release Oral Tablet,SCD,rxnav,100,mg,1
7052,891885,12 HR Morphine Sulfate 30 MG Extended Release Oral Tablet,SCD,rxnav,30,mg,1
7052,891888,Morphine Sulfate 30 MG Extended Release Oral Tablet,SCD,rxnav,30,mg,1
7052,891890,12 HR Morphine Sulfate 60 MG Extended Release Oral Tablet,SCD,rxnav,60,mg,1
7052,891893,Morphine Sulfate 60 MG Extended Release Oral Tablet,SCD,rxnav,60,mg,1
7052,892296,Morphine Sulfate 120 MG,SCDC,rxnav,120,mg,1
7052,892297,24 HR Morphine Sulfate 120 MG Extended Release Oral Capsule,SCD,rxnav,120,mg,1
7052,892298,Morphine Sulfate 120 MG [Avinza],SBDC,rxnav,120,mg,1
7052,892299,24 HR Morphine Sulfate 120 MG Extended Release Oral Capsule [Avinza],SBD,rxnav,120,mg,1
7052,892342,24 HR Morphine Sulfate 30 MG Extended Release Oral Capsule,SCD,rxnav,30,mg,1
7052,892343,Morphine Sulfate 30 MG [Avinza],SBDC,rxnav,30,mg,1
7052,892344,24 HR Morphine Sulfate 30 MG Extended Release Oral Capsule [Avinza],SBD,rxnav,30,mg,1
7052,892345,Morphine Sulfate 30 MG Extended Release Oral Capsule,SCD,rxnav,30,mg,1
7052,892349,24 HR Morphine Sulfate 60 MG Extended Release Oral Capsule,SCD,rxnav,60,mg,1
7052,892350,Morphine Sulfate 60 MG [Avinza],SBDC,rxnav,60,mg,1
7052,892351,24 HR Morphine Sulfate 60 MG Extended Release Oral Capsule [Avinza],SBD,rxnav,60,mg,1
7052,892352,Morphine Sulfate 60 MG Extended Release Oral Capsule,SCD,rxnav,60,mg,1
7052,892354,Morphine Sulfate 90 MG,SCDC,rxnav,90,mg,1
7052,892355,24 HR Morphine Sulfate 90 MG Extended Release Oral Capsule,SCD,rxnav,90,mg,1
7052,892356,Morphine Sulfate 90 MG [Avinza],SBDC,rxnav,90,mg,1
7052,892357,24 HR Morphine Sulfate 90 MG Extended Release Oral Capsule [Avinza],SBD,rxnav,90,mg,1
7052,892364,Morphine Sulfate 0.5 MG/ML,SCDC,rxnav,0.5,mg/ml,1
7052,892366,Morphine Sulfate 0.5 MG/ML [Astramorph],SBDC,rxnav,0.5,mg/ml,1
7052,892471,Morphine Sulfate 0.5 MG/ML [Duramorph],SBDC,rxnav,0.5,mg/ml,1
7052,892476,Morphine Sulfate 1 MG/ML,SCDC,rxnav,1,mg/ml,1
7052,892478,Morphine Sulfate 1 MG/ML [Astramorph],SBDC,rxnav,1,mg/ml,1
7052,892488,Morphine Sulfate 1 MG/ML [Duramorph],SBDC,rxnav,1,mg/ml,1
7052,892493,Morphine Sulfate 10 MG,SCDC,rxnav,10,mg,1
7052,892494,Morphine Sulfate 10 MG Extended Release Oral Capsule,SCD,rxnav,10,mg,1
7052,892495,Morphine Sulfate 10 MG [Kadian],SBDC,rxnav,10,mg,1
7052,892496,Morphine Sulfate 10 MG Extended Release Oral Capsule [Kadian],SBD,rxnav,10,mg,1
7052,892516,Morphine Sulfate 10 MG Rectal Suppository,SCD,rxnav,10,mg,1
7052,892530,Morphine Sulfate 10 MG/ML,SCDC,rxnav,10,mg/ml,1
7052,892532,Morphine Sulfate 10 MG/ML [Infumorph],SBDC,rxnav,10,mg/ml,1
7052,892554,Morphine Sulfate 100 MG Extended Release Oral Capsule,SCD,rxnav,100,mg,1
7052,892555,Morphine Sulfate 100 MG [Kadian],SBDC,rxnav,100,mg,1
7052,892556,Morphine Sulfate 100 MG Extended Release Oral Capsule [Kadian],SBD,rxnav,100,mg,1
7052,892559,Morphine Sulfate 100 MG [MS Contin],SBDC,rxnav,100,mg,1
7052,892560,Morphine Sulfate 100 MG Extended Release Oral Tablet [MS Contin],SBD,rxnav,100,mg,1
7052,892573,Morphine Sulfate 15 MG [MS Contin],SBDC,rxnav,15,mg,1
7052,892574,Morphine Sulfate 15 MG Extended Release Oral Tablet [MS Contin],SBD,rxnav,15,mg,1
7052,892579,Morphine Sulfate 15 MG Oral Capsule,SCD,rxnav,15,mg,1
7052,892582,Morphine Sulfate 15 MG Oral Tablet,SCD,rxnav,15,mg,1
7052,892588,Morphine Sulfate 2 MG/ML,SCDC,rxnav,2,mg/ml,1
7052,892589,Morphine Sulfate 2 MG/ML Oral Solution,SCD,rxnav,2,mg/ml,1
7052,892596,Morphine Sulfate 20 MG Extended Release Oral Capsule,SCD,rxnav,20,mg,1
7052,892597,Morphine Sulfate 20 MG [Kadian],SBDC,rxnav,20,mg,1
7052,892598,Morphine Sulfate 20 MG Extended Release Oral Capsule [Kadian],SBD,rxnav,20,mg,1
7052,892603,Morphine Sulfate 20 MG Rectal Suppository,SCD,rxnav,20,mg,1
7052,892624,Morphine Sulfate 20 MG/ML,SCDC,rxnav,20,mg/ml,1
7052,892625,Morphine Sulfate 20 MG/ML Oral Solution,SCD,rxnav,20,mg/ml,1
7052,892642,Morphine Sulfate 200 MG,SCDC,rxnav,200,mg,1
7052,892643,Morphine Sulfate 200 MG Extended Release Oral Capsule,SCD,rxnav,200,mg,1
7052,892644,Morphine Sulfate 200 MG [Kadian],SBDC,rxnav,200,mg,1
7052,892645,Morphine Sulfate 200 MG Extended Release Oral Capsule [Kadian],SBD,rxnav,200,mg,1
7052,892646,Morphine Sulfate 200 MG Extended Release Oral Tablet,SCD,rxnav,200,mg,1
7052,892647,Morphine Sulfate 200 MG [MS Contin],SBDC,rxnav,200,mg,1
7052,892648,Morphine Sulfate 200 MG Extended Release Oral Tablet [MS Contin],SBD,rxnav,200,mg,1
7052,892649,Morphine Sulfate 25 MG/ML,SCDC,rxnav,25,mg/ml,1
7052,892651,Morphine Sulfate 25 MG/ML [Infumorph],SBDC,rxnav,25,mg/ml,1
7052,892657,Morphine Sulfate 30 MG [Kadian],SBDC,rxnav,30,mg,1
7052,892658,Morphine Sulfate 30 MG Extended Release Oral Capsule [Kadian],SBD,rxnav,30,mg,1
7052,892659,Morphine Sulfate 30 MG [MS Contin],SBDC,rxnav,30,mg,1
7052,892660,Morphine Sulfate 30 MG Extended Release Oral Tablet [MS Contin],SBD,rxnav,30,mg,1
7052,892669,Morphine Sulfate 30 MG Oral Capsule,SCD,rxnav,30,mg,1
7052,892672,Morphine Sulfate 30 MG Oral Tablet,SCD,rxnav,30,mg,1
7052,892678,Morphine Sulfate 30 MG Rectal Suppository,SCD,rxnav,30,mg,1
7052,894779,Morphine Sulfate 4 MG/ML,SCDC,rxnav,4,mg/ml,1
7052,894780,Morphine Sulfate 4 MG/ML Oral Solution,SCD,rxnav,4,mg/ml,1
7052,894801,Morphine Sulfate 50 MG Extended Release Oral Capsule,SCD,rxnav,50,mg,1
7052,894802,Morphine Sulfate 50 MG [Kadian],SBDC,rxnav,50,mg,1
7052,894803,Morphine Sulfate 50 MG Extended Release Oral Capsule [Kadian],SBD,rxnav,50,mg,1
7052,894804,Morphine Sulfate 60 MG [Kadian],SBDC,rxnav,60,mg,1
7052,894805,Morphine Sulfate 60 MG Extended Release Oral Capsule [Kadian],SBD,rxnav,60,mg,1
7052,894806,Morphine Sulfate 5 MG,SCDC,rxnav,5,mg,1
7052,894807,Morphine Sulfate 5 MG Rectal Suppository,SCD,rxnav,5,mg,1
7052,894812,Morphine Sulfate 60 MG [MS Contin],SBDC,rxnav,60,mg,1
7052,894813,Morphine Sulfate 60 MG Extended Release Oral Tablet [MS Contin],SBD,rxnav,60,mg,1
7052,894814,Morphine Sulfate 80 MG Extended Release Oral Capsule,SCD,rxnav,80,mg,1
7052,894815,Morphine Sulfate 80 MG [Kadian],SBDC,rxnav,80,mg,1
7052,894816,Morphine Sulfate 80 MG Extended Release Oral Capsule [Kadian],SBD,rxnav,80,mg,1
7052,894910,Morphine Sulfate 14.3 MG/ML,SCDC,rxnav,14.3,mg/ml,1
7052,894913,Morphine Sulfate 8 MG/ML,SCDC,rxnav,8,mg/ml,1
7052,894918,12 HR Morphine Sulfate 200 MG Extended Release Oral Tablet,SCD,rxnav,200,mg,1
7052,894931,Morphine Sulfate 150 MG,SCDC,rxnav,150,mg,1
7052,894942,24 HR Morphine Sulfate 45 MG Extended Release Oral Capsule,SCD,rxnav,45,mg,1
7052,894970,24 HR Morphine Sulfate 75 MG Extended Release Oral Capsule,SCD,rxnav,75,mg,1
7052,894972,Morphine Sulfate 15 MG/ML,SCDC,rxnav,15,mg/ml,1
7052,894985,Morphine Sulfate 0.4 MG/ML,SCDC,rxnav,0.4,mg/ml,1
7052,894986,Morphine Sulfate 0.4 MG/ML Oral Solution,SCD,rxnav,0.4,mg/ml,1
7052,895012,Morphine Oral Suspension,SCDF,rxnav,,,1
7052,895014,Morphine Sulfate 10 MG Oral Tablet,SCD,rxnav,10,mg,1
7052,895016,Morphine Sulfate 10 MG/ML Oral Solution,SCD,rxnav,10,mg/ml,1
7052,895022,Morphine Sulfate 100 MG Rectal Suppository,SCD,rxnav,100,mg,1
7052,895185,Morphine Sulfate 15 MG Rectal Suppository,SCD,rxnav,15,mg,1
7052,895199,Morphine Sulfate 2 MG/ML Oral Suspension,SCD,rxnav,2,mg/ml,1
7052,895201,Morphine Sulfate 20 MG Oral Tablet,SCD,rxnav,20,mg,1
7052,895206,Morphine Sulfate 200 MG Oral Tablet,SCD,rxnav,200,mg,1
7052,895207,Morphine Sulfate 3 MG/ML,SCDC,rxnav,3,mg/ml,1
7052,895208,Morphine Sulfate 3 MG/ML Oral Suspension,SCD,rxnav,3,mg/ml,1
7052,895212,Morphine Sulfate 30 MG/ML,SCDC,rxnav,30,mg/ml,1
7052,895214,Morphine Sulfate 35 MG,SCDC,rxnav,35,mg,1
7052,895215,Morphine Sulfate 35 MG Rectal Suppository,SCD,rxnav,35,mg,1
7052,895217,Morphine Sulfate 5 MG Extended Release Oral Tablet,SCD,rxnav,5,mg,1
7052,895218,Morphine Sulfate 5 MG/ML,SCDC,rxnav,5,mg/ml,1
7052,895219,Morphine Sulfate 5 MG/ML Oral Suspension,SCD,rxnav,5,mg/ml,1
7052,895221,Morphine Sulfate 50 MG Oral Tablet,SCD,rxnav,50,mg,1
7052,895227,Morphine Sulfate 50 MG Rectal Suppository,SCD,rxnav,50,mg,1
